mode,period,comparison,kind,n_A,n_B,n_both,n_A_only,n_B_only,jaccard,coverage_of_B
log_price,0,granger_vs_te,consensus,66,151,9,57,142,0.04326923076923077,0.059602649006622516
log_price,0,granger_vs_digauss,consensus,66,81,56,10,25,0.6153846153846154,0.691358024691358
log_price,0,granger_vs_te,K5,45,103,3,42,100,0.020689655172413793,0.02912621359223301
log_price,1,granger_vs_te,consensus,37,200,13,24,187,0.05803571428571429,0.065
log_price,1,granger_vs_digauss,consensus,37,49,28,9,21,0.4827586206896552,0.5714285714285714
log_price,1,granger_vs_te,K5,32,115,6,26,109,0.0425531914893617,0.05217391304347826
log_price,2,granger_vs_te,consensus,85,232,25,60,207,0.08561643835616438,0.10775862068965517
log_price,2,granger_vs_digauss,consensus,85,136,64,21,72,0.40764331210191085,0.47058823529411764
log_price,2,granger_vs_te,K5,69,123,7,62,116,0.03783783783783784,0.056910569105691054
log_price,3,granger_vs_te,consensus,100,192,28,72,164,0.10606060606060606,0.14583333333333334
log_price,3,granger_vs_digauss,consensus,100,111,79,21,32,0.5984848484848485,0.7117117117117117
log_price,3,granger_vs_te,K5,77,104,7,70,97,0.040229885057471264,0.0673076923076923
log_return,0,granger_vs_te,consensus,34,15,1,33,14,0.020833333333333332,0.06666666666666667
log_return,0,granger_vs_digauss,consensus,34,67,29,5,38,0.4027777777777778,0.43283582089552236
log_return,0,granger_vs_te,K5,34,15,1,33,14,0.020833333333333332,0.06666666666666667
log_return,1,granger_vs_te,consensus,35,14,0,35,14,0.0,0.0
log_return,1,granger_vs_digauss,consensus,35,56,31,4,25,0.5166666666666667,0.5535714285714286
log_return,1,granger_vs_te,K5,33,14,0,33,14,0.0,0.0
log_return,2,granger_vs_te,consensus,128,16,3,125,13,0.02127659574468085,0.1875
log_return,2,granger_vs_digauss,consensus,128,295,117,11,178,0.38235294117647056,0.39661016949152544
log_return,2,granger_vs_te,K5,100,16,3,97,13,0.02654867256637168,0.1875
log_return,3,granger_vs_te,consensus,19,16,0,19,16,0.0,0.0
log_return,3,granger_vs_digauss,consensus,19,41,10,9,31,0.2,0.24390243902439024
log_return,3,granger_vs_te,K5,19,16,0,19,16,0.0,0.0
